DEPADM,DepBol,NomeDepBol,codRMet,CODMUN,MUN,SERIE_ANO,cod_per,periodo,co_comp,ds_comp,medprof
1,1,Rede Estadual,4,667,SILVEIRAS,EM-3ª série,9,GERAL,1,LÍNGUA PORTUGUESA,247.4
1,1,Rede Estadual,4,667,SILVEIRAS,EM-3ª série,9,GERAL,2,MATEMÁTICA,249.7
1,1,Rede Estadual,5,668,SOCORRO,5º Ano EF,9,GERAL,1,LÍNGUA PORTUGUESA,193.9
1,1,Rede Estadual,5,668,SOCORRO,5º Ano EF,9,GERAL,2,MATEMÁTICA,210.9
1,1,Rede Estadual,5,668,SOCORRO,9º Ano EF,9,GERAL,1,LÍNGUA PORTUGUESA,249.7
1,1,Rede Estadual,5,668,SOCORRO,9º Ano EF,9,GERAL,2,MATEMÁTICA,259.2
1,1,Rede Estadual,5,668,SOCORRO,EM-3ª série,9,GERAL,1,LÍNGUA PORTUGUESA,261.9
1,1,Rede Estadual,5,668,SOCORRO,EM-3ª série,9,GERAL,2,MATEMÁTICA,270.8
1,1,Rede Estadual,7,669,SOROCABA,5º Ano EF,9,GERAL,1,LÍNGUA PORTUGUESA,205.1
1,1,Rede Estadual,7,669,SOROCABA,5º Ano EF,9,GERAL,2,MATEMÁTICA,217.7
1,1,Rede Estadual,7,669,SOROCABA,9º Ano EF,9,GERAL,1,LÍNGUA PORTUGUESA,246.4
1,1,Rede Estadual,7,669,SOROCABA,9º Ano EF,9,GERAL,2,MATEMÁTICA,251.1
1,1,Rede Estadual,7,669,SOROCABA,EM-3ª série,9,GERAL,1,LÍNGUA PORTUGUESA,266.9
1,1,Rede Estadual,7,669,SOROCABA,EM-3ª série,9,GERAL,2,MATEMÁTICA,267.9
1,1,Rede Estadual,5,670,SUD MENNUCCI,EM-3ª série,9,GERAL,1,LÍNGUA PORTUGUESA,271.2
1,1,Rede Estadual,5,670,SUD MENNUCCI,EM-3ª série,9,GERAL,2,MATEMÁTICA,277.7
1,1,Rede Estadual,3,671,SUMARE,5º Ano EF,9,GERAL,1,LÍNGUA PORTUGUESA,199.0
1,1,Rede Estadual,3,671,SUMARE,5º Ano EF,9,GERAL,2,MATEMÁTICA,213.3
1,1,Rede Estadual,3,671,SUMARE,9º Ano EF,9,GERAL,1,LÍNGUA PORTUGUESA,243.1
1,1,Rede Estadual,3,671,SUMARE,9º Ano EF,9,GERAL,2,MATEMÁTICA,246.4
1,1,Rede Estadual,3,671,SUMARE,EM-3ª série,9,GERAL,1,LÍNGUA PORTUGUESA,263.9
1,1,Rede Estadual,3,671,SUMARE,EM-3ª série,9,GERAL,2,MATEMÁTICA,264.6
1,1,Rede Estadual,1,672,SUZANO,5º Ano EF,9,GERAL,1,LÍNGUA PORTUGUESA,195.0
1,1,Rede Estadual,1,672,SUZANO,5º Ano EF,9,GERAL,2,MATEMÁTICA,205.2
1,1,Rede Estadual,1,672,SUZANO,9º Ano EF,9,GERAL,1,LÍNGUA PORTUGUESA,240.7
1,1,Rede Estadual,1,672,SUZANO,9º Ano EF,9,GERAL,2,MATEMÁTICA,245.9
1,1,Rede Estadual,1,672,SUZANO,EM-3ª série,9,GERAL,1,LÍNGUA PORTUGUESA,260.0
1,1,Rede Estadual,1,672,SUZANO,EM-3ª série,9,GERAL,2,MATEMÁTICA,260.8
1,1,Rede Estadual,5,673,TABAPUA,9º Ano EF,9,GERAL,1,LÍNGUA PORTUGUESA,245.2
1,1,Rede Estadual,5,673,TABAPUA,9º Ano EF,9,GERAL,2,MATEMÁTICA,261.6
