DEPADM;DepBol;NomeDepBol;CodRMet;codmun;mun;SERIE_ANO;cod_per;periodo;co_comp;ds_comp;medprof
1;1;Rede Estadual;5;497;PACAEMBU;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;270,6
1;1;Rede Estadual;5;497;PACAEMBU;9º Ano EF;9;GERAL;2;MATEMATICA;246,2
1;1;Rede Estadual;5;497;PACAEMBU;EM-3ª série;9;GERAL;2;MATEMATICA;274
1;1;Rede Estadual;5;498;PALESTINA;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;280,4
1;1;Rede Estadual;5;498;PALESTINA;EM-3ª série;9;GERAL;2;MATEMATICA;303,1
1;1;Rede Estadual;5;499;PALMARES PAULISTA;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;265,5
1;1;Rede Estadual;5;499;PALMARES PAULISTA;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;301,5
1;1;Rede Estadual;5;499;PALMARES PAULISTA;9º Ano EF;9;GERAL;2;MATEMATICA;292,8
1;1;Rede Estadual;5;499;PALMARES PAULISTA;EM-3ª série;9;GERAL;2;MATEMATICA;301,5
1;1;Rede Estadual;5;500;PALMEIRA D'OESTE;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;243,9
1;1;Rede Estadual;5;500;PALMEIRA D'OESTE;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;281,5
1;1;Rede Estadual;5;500;PALMEIRA D'OESTE;9º Ano EF;9;GERAL;2;MATEMATICA;268,8
1;1;Rede Estadual;5;500;PALMEIRA D'OESTE;EM-3ª série;9;GERAL;2;MATEMATICA;291,3
1;1;Rede Estadual;5;501;PALMITAL;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;239,1
1;1;Rede Estadual;5;501;PALMITAL;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;263,5
1;1;Rede Estadual;5;501;PALMITAL;9º Ano EF;9;GERAL;2;MATEMATICA;251,2
1;1;Rede Estadual;5;501;PALMITAL;EM-3ª série;9;GERAL;2;MATEMATICA;263
1;1;Rede Estadual;5;502;PANORAMA;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;242,7
1;1;Rede Estadual;5;502;PANORAMA;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;276,6
1;1;Rede Estadual;5;502;PANORAMA;9º Ano EF;9;GERAL;2;MATEMATICA;256,5
1;1;Rede Estadual;5;502;PANORAMA;EM-3ª série;9;GERAL;2;MATEMATICA;276,8
1;1;Rede Estadual;5;503;PARAGUACU PAULISTA;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;261,7
